City,Raid Location,Friendly Name,Longitude,Latitude,Map Link
Redmond,McWhirter Park,Farrell McWhirter Park (Road),47.692419,-122.079004,"https://www.google.com/maps/dir/?api=1&destination=47.692419,-122.0790040"
Redmond,Charlotte's Trailhead,Farrell McWhirter Park (Trail),47.693287,-122.08074,"https://www.google.com/maps/dir/?api=1&destination=47.693287,-122.0807400"
Redmond,"Connor ""Boy"" Reed Memorial Bench",Farrell McWhirter Park (Bench),47.694365,-122.079746,"https://www.google.com/maps/dir/?api=1&destination=47.694365,-122.0797460"
Redmond,Bird on a Boat,Redmond PCC,47.701848,-122.0933,"https://www.google.com/maps/dir/?api=1&destination=47.701848,-122.0933000"
Redmond,Juel Park,Juel Park (Entrance),47.702702,-122.089278,"https://www.google.com/maps/dir/?api=1&destination=47.702702,-122.0892780"
Redmond,Juel Trail,Juel Park (Trail),47.701802,-122.089142,"https://www.google.com/maps/dir/?api=1&destination=47.701802,-122.0891420"
Overlake,Truck In A Tree,Microsoft B30,47.644983,-122.121525,"https://www.google.com/maps/dir/?api=1&destination=47.644983,-122.1215250"
Overlake,Microsoft Fitness Trail,Microsoft Fitness Trail,47.643633,-122.120667,"https://www.google.com/maps/dir/?api=1&destination=47.643633,-122.1206670"
Overlake,Creekside Covenant Church,Creekside Covenant Church,47.630389,-122.109666,"https://www.google.com/maps/dir/?api=1&destination=47.630389,-122.1096660"
Crossroads,Bellevue Youth Theatre,Bellevue Youth Theatre,47.62277,-122.116785,"https://www.google.com/maps/dir/?api=1&destination=47.622770,-122.1167850"
Crossroads,Bellevue Masonic Center's Plaque,Bellevue Masonic Center,47.624449,-122.122578,"https://www.google.com/maps/dir/?api=1&destination=47.624449,-122.1225780"
Overlake,Overlake Park Presbyterian Church,Overlake Park Prebyterian Church,47.627528,-122.131699,"https://www.google.com/maps/dir/?api=1&destination=47.627528,-122.1316990"
Crossroads,Colonial Square Apartment Homes,Xroads (Colonial Square),47.624645,-122.132236,"https://www.google.com/maps/dir/?api=1&destination=47.624645,-122.1322360"
Crossroads,Crossroads Cow in Stone Garden,Xroads (Cow),47.620334,-122.130254,"https://www.google.com/maps/dir/?api=1&destination=47.620334,-122.1302540"
Crossroads,Woodland Mural,Xroads (Woodland Mural),47.619303,-122.129903,"https://www.google.com/maps/dir/?api=1&destination=47.619303,-122.1299030"
Crossroads,Coffee Cup Bike Rack,Xroads (Bike Rack),47.618412,-122.131228,"https://www.google.com/maps/dir/?api=1&destination=47.618412,-122.1312280"
Crossroads,Crossroads Community Center,Xroads (Community Center),47.619357,-122.128017,"https://www.google.com/maps/dir/?api=1&destination=47.619357,-122.1280170"
Crossroads,The Salvation Army,Xroads (Salvation Army),47.618808,-122.122246,"https://www.google.com/maps/dir/?api=1&destination=47.618808,-122.1222460"
Crossroads,Calvary Lutheran Church,Calvary Lutheran Church,47.614881,-122.122409,"https://www.google.com/maps/dir/?api=1&destination=47.614881,-122.1224090"
Crossroads,P. George Brown Memorial Bench,Hilaire Park (Bench),47.614595,-122.128187,"https://www.google.com/maps/dir/?api=1&destination=47.614595,-122.1281870"
